"#","00_NOM","01_DATA NAIXEMENT","02_RESPONSABLE 1","03_TELÃˆFON RESP. 1","04_MÃ’BIL RESP. 1","05_ADREÃ‡A ELECTR. RESP. 1","06_RESPONSABLE 2","07_TELÃˆFON RESP. 2","08_MÃ’BIL RESP. 2","09_ADREÃ‡A ELECTR. RESP. 2","10_ADREÃ‡A","11_LOCALITAT","12_CORREU ELECTRÃ’NIC","13_ALTRES TELÃˆFONS","14_CENTRE PROCEDÃˆNCIA","15_GRUPSCLASSE"
"1","Navarro Montoya, Elena","30/05/1998","Valencia Roca, Abril","+34 XXXXXXX","+34 XXXXXXX","c/ del General Abril Vives Coll","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","abril@mailintaor.com","c/ de l'aviador Abril Vives Coll","L'Armentera","elena@mailintaor.com","","La Salle","ESO1A"
"1","Galindo Ros, Izan","29/07/1996","Quintana Gracia, Sergio","+34 XXXXXXX","+34 XXXXXXX","c/ del General Max Redondo Torres","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","sergio@mailintaor.com","c/ de l'aviador Max Redondo Torres","L'Armentera","izan@mailintaor.com","","La Salle","ESO1A"
"1","Castells Roig, Martí","03/02/1991","Benito Dominguez, Unai","+34 XXXXXXX","+34 XXXXXXX","c/ del General Javier Prat Vera","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","unai@mailintaor.com","c/ de l'aviador Javier Prat Vera","L'Armentera","marti@mailintaor.com","","La Salle","ESO1A"
"1","Silva Colomer, Víctor","01/04/1997","Alba Rueda, Dídac","+34 XXXXXXX","+34 XXXXXXX","c/ del General Axel Pages Lorente","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","didac@mailintaor.com","c/ de l'aviador Axel Pages Lorente","L'Armentera","victor@mailintaor.com","","La Salle","ESO1A"
"1","Rovira Camps, Marc","07/07/1995","Castillo Rivas, Carlota","+34 XXXXXXX","+34 XXXXXXX","c/ del General Xavier Valencia Gonzalez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","carlota@mailintaor.com","c/ de l'aviador Xavier Valencia Gonzalez","L'Armentera","marc@mailintaor.com","","La Salle","ESO1A"
"1","Mas Miguel, Diego","07/07/1991","Ribas Farre, Lucas","+34 XXXXXXX","+34 XXXXXXX","c/ del General Izan Camps Nadal","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","lucas@mailintaor.com","c/ de l'aviador Izan Camps Nadal","L'Armentera","diego@mailintaor.com","","La Salle","ESO1A"
"1","Plaza Sierra, Eva","11/11/1990","Pla Vidal, Alexandra","+34 XXXXXXX","+34 XXXXXXX","c/ del General Sara Pla Prieto","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","alexandra@mailintaor.com","c/ de l'aviador Sara Pla Prieto","L'Armentera","eva@mailintaor.com","","La Salle","ESO1A"
"1","Sala Gallardo, Judith","26/04/1992","Sanz Gimenez, Helena","+34 XXXXXXX","+34 XXXXXXX","c/ del General Cristina Ortiz Lopez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","helena@mailintaor.com","c/ de l'aviador Cristina Ortiz Lopez","L'Armentera","judith@mailintaor.com","","La Salle","ESO1A"
"1","Vives Saez, Oriol","11/11/1997","Silva Ramos, Pol","+34 XXXXXXX","+34 XXXXXXX","c/ del General Aitana Amaya Galvez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","pol@mailintaor.com","c/ de l'aviador Aitana Amaya Galvez","L'Armentera","oriol@mailintaor.com","","La Salle","ESO1A"
"1","Lorente Roig, Noa","11/04/1996","Figueras Vidal, Erik","+34 XXXXXXX","+34 XXXXXXX","c/ del General Oriol Gonzalez Diaz","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","erik@mailintaor.com","c/ de l'aviador Oriol Gonzalez Diaz","L'Armentera","noa@mailintaor.com","","La Salle","ESO1A"
"1","Barrera Blasco, Andrea","26/08/1998","Rey Blasco, José","+34 XXXXXXX","+34 XXXXXXX","c/ del General Biel Roca Guerrero","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","jose@mailintaor.com","c/ de l'aviador Biel Roca Guerrero","L'Armentera","andrea@mailintaor.com","","La Salle","ESO1B"
"1","Abad Esteve, Diego","30/03/1990","Casanovas Carrasco, Guillem","+34 XXXXXXX","+34 XXXXXXX","c/ del General Rayan Blanch Torrent","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","guillem@mailintaor.com","c/ de l'aviador Rayan Blanch Torrent","L'Armentera","diego@mailintaor.com","","La Salle","ESO1B"
"1","Mesa Salas, Aina","01/01/1995","Duran Vargas, Ana","+34 XXXXXXX","+34 XXXXXXX","c/ del General Marcos Colomer Domenech","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ana@mailintaor.com","c/ de l'aviador Marcos Colomer Domenech","L'Armentera","aina@mailintaor.com","","La Salle","ESO1B"
"1","Alarcon Ibañez, Eva","11/06/1990","Fernandez Sala, Naiara","+34 XXXXXXX","+34 XXXXXXX","c/ del General Javier Gimeno Camps","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","naiara@mailintaor.com","c/ de l'aviador Javier Gimeno Camps","L'Armentera","eva@mailintaor.com","","La Salle","ESO1B"
"1","Alsina Collado, Ainhoa","14/02/1995","Merino Blanch, Queralt","+34 XXXXXXX","+34 XXXXXXX","c/ del General Noa Soler Esteban","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","queralt@mailintaor.com","c/ de l'aviador Noa Soler Esteban","L'Armentera","ainhoa@mailintaor.com","","La Salle","ESO1B"
"1","Alsina Mendez, Ainhoa","23/09/1995","Gutierrez Beltran, Pol","+34 XXXXXXX","+34 XXXXXXX","c/ del General Naiara Marin Macias","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","pol@mailintaor.com","c/ de l'aviador Naiara Marin Macias","L'Armentera","ainhoa@mailintaor.com","","La Salle","ESO1B"
"1","Esteban Mendez, Aya","07/10/1993","Miro Mora, Mohamed","+34 XXXXXXX","+34 XXXXXXX","c/ del General Malak Valle Contreras","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","mohamed@mailintaor.com","c/ de l'aviador Malak Valle Contreras","L'Armentera","aya@mailintaor.com","","La Salle","ESO1B"
"1","Palau Miralles, Max","04/04/1997","Cruz Jurado, Daniela","+34 XXXXXXX","+34 XXXXXXX","c/ del General Marina Rovira Gallardo","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","daniela@mailintaor.com","c/ de l'aviador Marina Rovira Gallardo","L'Armentera","max@mailintaor.com","","La Salle","ESO1B"
"1","Soria Rico, Jaume","18/10/1990","Rivera Carbonell, Guillem","+34 XXXXXXX","+34 XXXXXXX","c/ del General Sergi Navas Saez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","guillem@mailintaor.com","c/ de l'aviador Sergi Navas Saez","L'Armentera","jaume@mailintaor.com","","La Salle","ESO1B"
"1","Fuentes Benito, Helena","23/05/1993","Marquez Calvo, Anna","+34 XXXXXXX","+34 XXXXXXX","c/ del General Hugo Maldonado Piñol","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","anna@mailintaor.com","c/ de l'aviador Hugo Maldonado Piñol","L'Armentera","helena@mailintaor.com","","La Salle","ESO1B"
"1","Bertran Muñoz, Adrián","26/07/1990","Heredia Avila, Aleix","+34 XXXXXXX","+34 XXXXXXX","c/ del General Sergi Soto Montero","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","aleix@mailintaor.com","c/ de l'aviador Sergi Soto Montero","L'Armentera","adrian@mailintaor.com","","La Salle","ESO1B"
"1","Santiago Calvo, Martina","18/08/1999","Salas Reyes, Miquel","+34 XXXXXXX","+34 XXXXXXX","c/ del General Marc Cruz Guerrero","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","miquel@mailintaor.com","c/ de l'aviador Marc Cruz Guerrero","L'Armentera","martina@mailintaor.com","","La Salle","ESO1B"
"1","Reina Villar, Joana","01/07/1994","Valverde Cuenca, Emma","+34 XXXXXXX","+34 XXXXXXX","c/ del General Marina Roig Planas","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","emma@mailintaor.com","c/ de l'aviador Marina Roig Planas","L'Armentera","joana@mailintaor.com","","La Salle","ESO1B"
"1","Ordoñez Rojas, Aleix","07/12/1992","Tomas Pascual, Mario","+34 XXXXXXX","+34 XXXXXXX","c/ del General Alejandro Carrera Roldan","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","mario@mailintaor.com","c/ de l'aviador Alejandro Carrera Roldan","L'Armentera","aleix@mailintaor.com","","La Salle","ESO1B"
"1","Quesada Castaño, Hugo","05/12/1990","Figueras Gimeno, Carlos","+34 XXXXXXX","+34 XXXXXXX","c/ del General Anna Rios Miranda","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","carlos@mailintaor.com","c/ de l'aviador Anna Rios Miranda","L'Armentera","hugo@mailintaor.com","","La Salle","ESO1B"
"1","Coll Duran, Leire","21/09/1999","Casanova Esteban, Ainara","+34 XXXXXXX","+34 XXXXXXX","c/ del General Paula Pages Castaño","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ainara@mailintaor.com","c/ de l'aviador Paula Pages Castaño","L'Armentera","leire@mailintaor.com","","La Salle","ESO1B"
"1","Guillen Roig, Roc","14/06/1992","Lorente Nuñez, Emma","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ainara Farre Carrera","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","emma@mailintaor.com","c/ de l'aviador Ainara Farre Carrera","L'Armentera","roc@mailintaor.com","","La Salle","ESO1B"
"1","Blanco Murillo, Ariadna","01/06/1992","Pages Rey, Roc","+34 XXXXXXX","+34 XXXXXXX","c/ del General Albert Bernal Millan","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","roc@mailintaor.com","c/ de l'aviador Albert Bernal Millan","L'Armentera","ariadna@mailintaor.com","","La Salle","ESO1B"
"1","Soto Sanchez, Hugo","19/04/1996","Navas Ramos, Helena","+34 XXXXXXX","+34 XXXXXXX","c/ del General Alba Cabrera Casanovas","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","helena@mailintaor.com","c/ de l'aviador Alba Cabrera Casanovas","L'Armentera","hugo@mailintaor.com","","La Salle","ESO1B"
"1","Martin Martinez, Naiara","25/01/1992","Ventura Valencia, Adrià","+34 XXXXXXX","+34 XXXXXXX","c/ del General Malak Miralles Millan","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","adria@mailintaor.com","c/ de l'aviador Malak Miralles Millan","L'Armentera","naiara@mailintaor.com","","La Salle","ESO1B"
"1","Morales Robles, Queralt","20/07/1997","Bautista Flores, Leo","+34 XXXXXXX","+34 XXXXXXX","c/ del General Mireia Lorente Valls","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","leo@mailintaor.com","c/ de l'aviador Mireia Lorente Valls","L'Armentera","queralt@mailintaor.com","","La Salle","ESO1C"
"1","Quesada Saez, Mariona","04/01/1993","Bermudez Juan, Nerea","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ona Cabrera Pla","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","nerea@mailintaor.com","c/ de l'aviador Ona Cabrera Pla","L'Armentera","mariona@mailintaor.com","","La Salle","ESO1C"
"1","Farre Garrido, Álvaro","19/07/1997","Saez Ruiz, Víctor","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ismael Gutierrez Gallego","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","victor@mailintaor.com","c/ de l'aviador Ismael Gutierrez Gallego","L'Armentera","alvaro@mailintaor.com","","La Salle","ESO1C"
"1","Lozano Montero, Adrián","12/09/1998","Calvo Izquierdo, Nil","+34 XXXXXXX","+34 XXXXXXX","c/ del General Elena Miralles Pons","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","nil@mailintaor.com","c/ de l'aviador Elena Miralles Pons","L'Armentera","adrian@mailintaor.com","","La Salle","ESO1C"
"1","Villanueva Garrido, Naia","15/07/1998","Sanz Rosell, Aleix","+34 XXXXXXX","+34 XXXXXXX","c/ del General Judit Badia Marti","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","aleix@mailintaor.com","c/ de l'aviador Judit Badia Marti","L'Armentera","naia@mailintaor.com","","La Salle","ESO1C"
"1","Viñas Casas, Mohamed","18/10/1997","Gimeno Linares, Jordi","+34 XXXXXXX","+34 XXXXXXX","c/ del General Paula Bueno Domenech","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","jordi@mailintaor.com","c/ de l'aviador Paula Bueno Domenech","L'Armentera","mohamed@mailintaor.com","","La Salle","ESO1C"
"1","Nuñez Jimenez, Alan","26/08/1999","Jimenez Mateu, Alexandra","+34 XXXXXXX","+34 XXXXXXX","c/ del General Queralt Calderon Lopez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","alexandra@mailintaor.com","c/ de l'aviador Queralt Calderon Lopez","L'Armentera","alan@mailintaor.com","","La Salle","ESO1C"
"1","Rovira Romero, Xavi","02/07/1993","Esteve Macias, Alan","+34 XXXXXXX","+34 XXXXXXX","c/ del General José Viñas Casado","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","alan@mailintaor.com","c/ de l'aviador José Viñas Casado","L'Armentera","xavi@mailintaor.com","","La Salle","ESO1C"
"1","Lozano Vera, Alba","12/07/1990","Carrera Valverde, Isaac","+34 XXXXXXX","+34 XXXXXXX","c/ del General Nora Blasco Torres","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","isaac@mailintaor.com","c/ de l'aviador Nora Blasco Torres","L'Armentera","alba@mailintaor.com","","La Salle","ESO1C"
"1","Rivera Guillen, Queralt","23/03/1992","Ribas Vazquez, Gabriel","+34 XXXXXXX","+34 XXXXXXX","c/ del General Dídac Carrasco Ordoñez","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","gabriel@mailintaor.com","c/ de l'aviador Dídac Carrasco Ordoñez","L'Armentera","queralt@mailintaor.com","","La Salle","ESO1C"
"1","Ramirez Manzano, Samuel","12/03/1993","Escudero Torres, Dídac","+34 XXXXXXX","+34 XXXXXXX","c/ del General Aitor Pages Martin","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","didac@mailintaor.com","c/ de l'aviador Aitor Pages Martin","L'Armentera","samuel@mailintaor.com","","La Salle","ESO1C"
"1","Bautista Ramon, Adam","09/10/1994","Bermudez Saez, Albert","+34 XXXXXXX","+34 XXXXXXX","c/ del General Miguel Bernal Rubio","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","albert@mailintaor.com","c/ de l'aviador Miguel Bernal Rubio","L'Armentera","adam@mailintaor.com","","La Salle","ESO1C"
"1","Nieto Carbonell, Andrea","13/05/1997","Diez Vives, Ismael","+34 XXXXXXX","+34 XXXXXXX","c/ del General Anna Mendez Carrasco","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Anna Mendez Carrasco","L'Armentera","andrea@mailintaor.com","","La Salle","ESO1C"
"1","Flores Miranda, Diego","27/02/1999","Oliva Carmona, Erik","+34 XXXXXXX","+34 XXXXXXX","c/ del General Pau Moya Ponce","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","erik@mailintaor.com","c/ de l'aviador Pau Moya Ponce","L'Armentera","diego@mailintaor.com","","La Salle","ESO1C"
"1","Flores Sanz, Aya","09/04/1999","Mora Calderon, Inés","+34 XXXXXXX","+34 XXXXXXX","c/ del General Gabriel Campos Juan","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","ines@mailintaor.com","c/ de l'aviador Gabriel Campos Juan","L'Armentera","aya@mailintaor.com","","La Salle","ESO1C"
"1","Montero Nieto, Joel","19/02/1994","Cardona Redondo, Noa","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ariadna Cuevas Ponce","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Ariadna Cuevas Ponce","L'Armentera","joel@mailintaor.com","","La Salle","ESO1C"
"1","Piñol Egea, Aina","07/05/1995","Morales Macias, Elena","+34 XXXXXXX","+34 XXXXXXX","c/ del General David Roldan Casas","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","elena@mailintaor.com","c/ de l'aviador David Roldan Casas","L'Armentera","aina@mailintaor.com","","La Salle","ESO1C"
"1","Font Guillen, Ivet","29/07/1990","Rubio Tomas, Joana","+34 XXXXXXX","+34 XXXXXXX","c/ del General Mohamed Torres Salvador","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","joana@mailintaor.com","c/ de l'aviador Mohamed Torres Salvador","L'Armentera","ivet@mailintaor.com","","La Salle","ESO1C"
"1","Ferrer Villar, Joan","31/07/1994","Quesada Rey, Nerea","+34 XXXXXXX","+34 XXXXXXX","c/ del General Judit Guerrero Acosta","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","nerea@mailintaor.com","c/ de l'aviador Judit Guerrero Acosta","L'Armentera","joan@mailintaor.com","","La Salle","ESO1C"
"1","Coll Nadal, Unai","06/11/1995","Sans Carrasco, Joana","+34 XXXXXXX","+34 XXXXXXX","c/ del General Hugo Fernandez Guzman","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","joana@mailintaor.com","c/ de l'aviador Hugo Fernandez Guzman","L'Armentera","unai@mailintaor.com","","La Salle","ESO1C"
"1","Cardenas Pallares, Hugo","19/11/1994","Serrano Dominguez, Joan","+34 XXXXXXX","+34 XXXXXXX","c/ del General Clara Alvarez Vargas","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","joan@mailintaor.com","c/ de l'aviador Clara Alvarez Vargas","L'Armentera","hugo@mailintaor.com","","La Salle","ESO1C"
"1","Busquets Cortes, Jaume","16/08/1993","Marquez Valverde, Jaume","+34 XXXXXXX","+34 XXXXXXX","c/ del General Xavier Bautista Ponce","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","jaume@mailintaor.com","c/ de l'aviador Xavier Bautista Ponce","L'Armentera","jaume@mailintaor.com","","La Salle","ESO2A"
"1","Valles Peña, Sergio","14/06/1996","Paredes Martos, Hugo","+34 XXXXXXX","+34 XXXXXXX","c/ del General Unai Jimenez Valencia","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","hugo@mailintaor.com","c/ de l'aviador Unai Jimenez Valencia","L'Armentera","sergio@mailintaor.com","","La Salle","ESO2A"
"1","Pascual Maldonado, Elsa","15/07/1998","Segura Sabate, Álvaro","+34 XXXXXXX","+34 XXXXXXX","c/ del General Paula Ribera Martin","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","alvaro@mailintaor.com","c/ de l'aviador Paula Ribera Martin","L'Armentera","elsa@mailintaor.com","","La Salle","ESO2A"
"1","Ramirez Cardona, Lucas","28/12/1994","Espinosa Roca, Cristina","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ivet Serra Exposito","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","cristina@mailintaor.com","c/ de l'aviador Ivet Serra Exposito","L'Armentera","lucas@mailintaor.com","","La Salle","ESO2A"
"1","Cano Maldonado, Martina","21/11/1998","Domenech Vicente, Arlet","+34 XXXXXXX","+34 XXXXXXX","c/ del General Elena Vila Singh","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","arlet@mailintaor.com","c/ de l'aviador Elena Vila Singh","L'Armentera","martina@mailintaor.com","","La Salle","ESO2A"
"1","Perez Carbonell, Aya","28/04/1993","Acosta Pallares, Joana","+34 XXXXXXX","+34 XXXXXXX","c/ del General Lucía Navarro Gallego","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","joana@mailintaor.com","c/ de l'aviador Lucía Navarro Gallego","L'Armentera","aya@mailintaor.com","","La Salle","ESO2A"
"1","Espinosa Bermudez, Martina","13/06/1994","Villar Mora, Aya","+34 XXXXXXX","+34 XXXXXXX","c/ del General David Benitez Ferre","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","aya@mailintaor.com","c/ de l'aviador David Benitez Ferre","L'Armentera","martina@mailintaor.com","","La Salle","ESO2A"
"1","Sierra Escudero, Adriana","17/05/1994","Egea Cuevas, Mireia","+34 XXXXXXX","+34 XXXXXXX","c/ del General Iris Vazquez Pons","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","mireia@mailintaor.com","c/ de l'aviador Iris Vazquez Pons","L'Armentera","adriana@mailintaor.com","","La Salle","ESO2A"
"1","Pla Calvo, Aleix","28/10/1991","Martos Marin, Nora","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ismael Torres Figueras","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","nora@mailintaor.com","c/ de l'aviador Ismael Torres Figueras","L'Armentera","aleix@mailintaor.com","","La Salle","ESO2A"
"1","Benitez Miralles, Adam","20/05/1994","Benitez Exposito, Lluc","+34 XXXXXXX","+34 XXXXXXX","c/ del General Ivet Cruz Asensio","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","lluc@mailintaor.com","c/ de l'aviador Ivet Cruz Asensio","L'Armentera","adam@mailintaor.com","","La Salle","ESO2A"
"1","Roldan Roig, Unai","21/06/1997","Cruz Valero, Jaume","+34 XXXXXXX","+34 XXXXXXX","c/ del General Adriana Soria Mir","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","jaume@mailintaor.com","c/ de l'aviador Adriana Soria Mir","L'Armentera","unai@mailintaor.com","","La Salle","ESO2A"
"1","Flores Santamaria, Pau","05/02/1990","Esteve Aguilar, Leyre","+34 XXXXXXX","+34 XXXXXXX","c/ del General Irene Cardenas Bueno","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","leyre@mailintaor.com","c/ de l'aviador Irene Cardenas Bueno","L'Armentera","pau@mailintaor.com","","La Salle","ESO2A"
"1","Bosch Manzano, Gerard","14/07/1997","Beltran Calvo, Sara","+34 XXXXXXX","+34 XXXXXXX","c/ del General Eloi Campos Redondo","+34 XXXXXYYY","+34 XXXXZZZZ","+34 XXXXLLL","sara@mailintaor.com","c/ de l'aviador Eloi Campos Redondo","L'Armentera","gerard@mailintaor.com","","La Salle","ESO2A"
